EMOTYPE,EMOLEVEL,LOADLEVEL,POSI1,POSI2,POSILOGI,ACCU1,ACCU2,RT1,RT2
ANGRY,STRONG,HIGH,1,1,1,0.000000,0.000000,2.016164,2.000773
ANGRY,STRONG,HIGH,0,0,1,0.000000,0.000000,2.016469,2.000856
ANGRY,STRONG,HIGH,1,1,1,0.000000,0.000000,2.016423,2.000776
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,2.016478,2.016509
SAD,LOW,HIGH,0,1,0,0.000000,0.000000,2.016300,2.016281
SAD,LOW,HIGH,0,0,1,0.000000,0.000000,2.016397,2.016288
SAD,LOW,HIGH,0,0,1,0.000000,0.000000,2.016263,2.016349
SAD,LOW,HIGH,1,1,1,0.000000,0.000000,2.016474,2.016501
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,2.016164,2.016205
SAD,LOW,HIGH,1,1,1,0.000000,0.000000,2.016317,2.016273
SAD,LOW,HIGH,0,1,0,0.000000,0.000000,2.016419,2.016370
SAD,LOW,HIGH,0,1,0,0.000000,0.000000,2.016404,2.016258
SAD,LOW,HIGH,0,0,1,0.000000,0.000000,2.016120,2.016325
SAD,LOW,HIGH,1,1,1,0.000000,0.000000,2.016192,2.016225
SAD,LOW,HIGH,0,0,1,0.000000,0.000000,2.016392,2.016166
SAD,LOW,HIGH,0,1,0,0.000000,0.000000,2.016423,2.016253
SAD,LOW,HIGH,0,0,1,0.000000,0.000000,2.016143,2.016279
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,2.016443,2.016396
SAD,LOW,HIGH,0,1,0,0.000000,0.000000,2.016153,2.016212
SAD,LOW,HIGH,1,1,1,0.000000,0.000000,2.016425,2.016305
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,2.016361,2.016427
SAD,LOW,HIGH,1,1,1,0.000000,0.000000,2.016345,2.016273
SAD,LOW,HIGH,1,0,0,0.000000,0.000000,2.016408,2.016248
SAD,STRONG,HIGH,1,0,0,0.000000,0.000000,2.016406,2.001530
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016500,2.000742
SAD,STRONG,HIGH,0,0,1,0.000000,0.000000,2.016401,2.000904
SAD,STRONG,HIGH,0,0,1,0.000000,0.000000,2.016419,2.000767
SAD,STRONG,HIGH,1,1,1,0.000000,0.000000,2.016087,2.000762
SAD,STRONG,HIGH,1,0,0,0.000000,0.000000,2.016168,2.000704
SAD,STRONG,HIGH,1,1,1,0.000000,0.000000,2.016310,2.000887
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016401,2.000783
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016474,2.000756
SAD,STRONG,HIGH,0,0,1,0.000000,0.000000,2.016155,2.000787
SAD,STRONG,HIGH,1,1,1,0.000000,0.000000,2.016135,2.000755
SAD,STRONG,HIGH,0,0,1,0.000000,0.000000,2.016418,2.000933
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016476,2.000799
SAD,STRONG,HIGH,0,0,1,0.000000,0.000000,2.016449,2.000797
SAD,STRONG,HIGH,1,0,0,0.000000,0.000000,2.016134,2.000670
SAD,STRONG,HIGH,0,1,0,0.000000,0.000000,2.016128,2.000428
SAD,STRONG,HIGH,1,1,1,0.000000,0.000000,2.016478,2.000957
SAD,STRONG,HIGH,1,0,0,0.000000,0.000000,2.016453,2.000774
SAD,STRONG,HIGH,1,1,1,0.000000,0.000000,2.016380,2.000741
SAD,STRONG,HIGH,1,0,0,0.000000,0.000000,2.016460,2.000684
ANGRY,LOW,LOW,0,0,1,0.000000,0.000000,2.016471,2.013881
ANGRY,LOW,LOW,0,0,1,0.000000,0.000000,2.016247,2.016275
ANGRY,LOW,LOW,1,0,0,0.000000,1.000000,0.433137,0.466310
ANGRY,LOW,LOW,1,0,0,1.000000,0.000000,0.666460,0.699761
ANGRY,LOW,LOW,1,0,0,1.000000,0.000000,0.349531,0.733076
ANGRY,LOW,LOW,0,1,0,0.000000,0.000000,0.482951,0.083025
ANGRY,LOW,LOW,0,1,0,1.000000,1.000000,0.366439,0.549655
ANGRY,LOW,LOW,0,1,0,1.000000,1.000000,1.499745,0.716314
ANGRY,LOW,LOW,0,0,1,1.000000,1.000000,0.366374,0.532960
ANGRY,LOW,LOW,1,1,1,1.000000,0.000000,0.316553,0.582980
ANGRY,LOW,LOW,1,0,0,0.000000,0.000000,0.549802,0.083054
ANGRY,LOW,LOW,1,1,1,1.000000,1.000000,0.416400,0.599661
ANGRY,LOW,LOW,0,0,1,1.000000,0.000000,0.416169,0.466330
ANGRY,LOW,LOW,0,0,1,1.000000,1.000000,0.333131,0.582993
ANGRY,LOW,LOW,0,0,1,1.000000,0.000000,0.499793,0.483032
ANGRY,LOW,LOW,1,0,0,1.000000,0.000000,0.449539,1.699582
ANGRY,LOW,LOW,1,1,1,1.000000,1.000000,0.549537,0.582932
ANGRY,LOW,LOW,0,1,0,1.000000,1.000000,0.416163,0.483134
ANGRY,LOW,LOW,1,0,0,1.000000,1.000000,1.383129,0.716345
ANGRY,LOW,LOW,1,1,1,1.000000,1.000000,0.282813,0.816300
ANGRY,STRONG,LOW,0,0,1,1.000000,1.000000,0.582915,0.751477
ANGRY,STRONG,LOW,0,0,1,0.000000,0.000000,0.383170,0.217519
ANGRY,STRONG,LOW,1,0,0,0.000000,0.000000,0.316351,0.284185
ANGRY,STRONG,LOW,1,0,0,0.000000,1.000000,0.466363,0.434087
ANGRY,STRONG,LOW,1,0,0,0.000000,1.000000,0.633051,0.950803
ANGRY,STRONG,LOW,0,1,0,0.000000,0.000000,1.116375,0.384180
ANGRY,STRONG,LOW,0,1,0,0.000000,0.000000,0.499747,0.334110
ANGRY,STRONG,LOW,0,1,0,0.000000,1.000000,0.432898,0.317466
ANGRY,STRONG,LOW,0,0,1,1.000000,1.000000,0.566226,0.667533
ANGRY,STRONG,LOW,1,1,1,0.000000,0.000000,1.699476,0.334171
ANGRY,STRONG,LOW,1,0,0,0.000000,0.000000,0.582960,0.367621
ANGRY,STRONG,LOW,1,1,1,1.000000,0.000000,0.349944,0.750795
ANGRY,STRONG,LOW,0,0,1,0.000000,0.000000,0.416504,0.334243
ANGRY,STRONG,LOW,0,0,1,1.000000,0.000000,0.416453,0.567512
ANGRY,STRONG,LOW,0,0,1,0.000000,0.000000,0.249862,0.234193
ANGRY,STRONG,LOW,1,0,0,1.000000,1.000000,0.316468,0.584151
ANGRY,STRONG,LOW,1,1,1,1.000000,1.000000,0.399822,0.384140
ANGRY,STRONG,LOW,0,1,0,0.000000,0.000000,0.383111,0.250842
ANGRY,STRONG,LOW,1,0,0,1.000000,0.000000,0.549812,1.867488
ANGRY,STRONG,LOW,1,1,1,0.000000,0.000000,0.433140,0.284104
